Rank,Player,Position,Team,Tag
1,"Jahmyr Gibbs",RB,"DET","Tier 1"
2,"Bijan Robinson",RB,"ATL","Tier 1"
3,"Ja'Marr Chase",WR,"CIN","Tier 1"
4,"Puka Nacua",WR,"LAR","Tier 1"
5,"Christian McCaffrey",RB,"SF","Tier 1"
6,"Jaxon Smith-Njigba",WR,"SEA","Tier 1"
7,"Jonathan Taylor",RB,"IND","Tier 2"
8,"Amon-Ra St. Brown",WR,"DET","Tier 1"
9,"James Cook III",RB,"BUF","Tier 2"
10,"De'Von Achane",RB,"MIA","Tier 2"
11,"CeeDee Lamb",WR,"DAL","Tier 2"
