Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam
"Zach Charbonnet",RB,SEA,6,"Drafted (Round 6)","Wailin Raylans"
"Ladd McConkey",WR,LAC,6,"Drafted (Round 6)","Berserker"
"Chris Godwin Jr.",WR,TB,6,"Drafted (Round 6)","I LIKE BIG TDS"
"Zay Flowers",WR,BAL,6,"Drafted (Round 6)","Kona’s Kicking Team"
"Travis Etienne Jr.",RB,JAX,7,"Drafted (Round 7)","Kona’s Kicking Team"
"Cooper Kupp",WR,LAR,7,"Drafted (Round 7)","I LIKE BIG TDS"
"Evan Engram",TE,JAX,7,"Drafted (Round 7)","Berserker"
"Tucker Kraft",TE,GB,7,"Drafted (Round 7)","Wailin Raylans"
"Calvin Ridley",WR,TEN,7,"Drafted (Round 7)","Postino's Bandits"
"Nico Collins",WR,HOU,7,"Drafted (Round 7)","Fat Lazy Americans"
"Ollie Gordon II",RB,MIA,7,"Drafted (Round 7)","MombaMentality"
