Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Christian Kirk",WR,JAX,10,"Drafted (Round 10)","Rafi Bomb Returns!",NO
"Jerry Jeudy",WR,CLE,10,"Drafted (Round 10)","Billy Goat Tavern",NO
"Bhayshul Tuten",RB,JAX,10,"Drafted (Round 10)","MombaMentality",NO
"Jordan Addison",WR,MIN,10,"Drafted (Round 10)","Fat Lazy Americans",NO
"Josh Downs",WR,IND,10,"Drafted (Round 10)","Postino's Banditos",NO
"Bucky Irving",RB,TB,10,"Drafted (Round 10)","Wailin Raylans",NO
"Bo Nix",QB,DEN,10,"Drafted (Round 10)","Berserker",NO
"Jordan Love",QB,GB,10,"Drafted (Round 10)","I LIKE BIG TDS",NO
"Najee Harris",RB,PIT,10,"Drafted (Round 10)","Kona’s Kickers",NO
"Zack Baun",LB,PHI,11,"Drafted (Round 11)","Kona’s Kickers",NO
"Adam Thielen",WR,CAR,11,"Drafted (Round 11)","I LIKE BIG TDS",NO
"Rashee Rice",WR,KC,11,"Drafted (Round 11)","Berserker",NO
"Jakobi Meyers",WR,LV,11,"Drafted (Round 11)","Wailin Raylans",NO
"Dallas Goedert",TE,PHI,11,"Drafted (Round 11)","Postino's Banditos",NO
"Jaydon Blue",RB,DAL,11,"Drafted (Round 11)","Fat Lazy Americans",NO
"Colston Loveland",TE,CHI,11,"Drafted (Round 11)","MombaMentality",NO
"Dylan Sampson",RB,CLE,11,"Drafted (Round 11)","Billy Goat Tavern",NO
"Ray Davis",RB,BUF,11,"Drafted (Round 11)","Rafi Bomb Returns!",NO
"Marvin Mims Jr.",WR,DEN,11,"Drafted (Round 11)","No Talent Ass Clowns",NO
"Quinshon Judkins",RB,CLE,11,"Drafted (Round 11)","Oroszlanok",NO
"Zaire Franklin",LB,IND,11,"Drafted (Round 11)","Dumpster Fire",NO
"Joshua Palmer",WR,LAC,12,"Drafted (Round 12)","Dumpster Fire",NO
"Kyle Monangai",RB,CHI,12,"Drafted (Round 12)","Oroszlanok",NO
"Roquan Smith",LB,BAL,12,"Drafted (Round 12)","No Talent Ass Clowns",NO
"Caleb Williams",QB,CHI,12,"Drafted (Round 12)","Rafi Bomb Returns!",NO
"Fred Warner",LB,SF,12,"Drafted (Round 12)","Billy Goat Tavern",NO
"Sam LaPorta",TE,DET,12,"Drafted (Round 12)","MombaMentality",NO
"Foyesade Oluokun",LB,JAX,12,"Drafted (Round 12)","Fat Lazy Americans",NO
"Brandon Aiyuk",WR,SF,12,"Drafted (Round 12)","Postino's Banditos",NO
"Darnell Mooney",WR,ATL,12,"Drafted (Round 12)","Wailin Raylans",NO
"Blake Cashman",LB,MIN,12,"Drafted (Round 12)","Berserker",NO
"Jake Ferguson",TE,DAL,12,"Drafted (Round 12)","I LIKE BIG TDS",NO
"Robert Spillane",LB,LV,12,"Drafted (Round 12)","Kona’s Kickers",NO
"Kaden Elliss",LB,ATL,13,"Drafted (Round 13)","Kona’s Kickers",NO
"Jerome Ford",RB,CLE,13,"Drafted (Round 13)","I LIKE BIG TDS",NO
"Rashod Bateman",WR,BAL,13,"Drafted (Round 13)","Berserker",NO
"Alex Singleton",LB,DEN,13,"Drafted (Round 13)","Wailin Raylans",NO
"Amari Cooper",WR,BUF,13,"Drafted (Round 13)","Postino's Banditos",NO
"T.J. Edwards",LB,CHI,13,"Drafted (Round 13)","Fat Lazy Americans",NO
"Luther Burden III",WR,CAR,13,"Drafted (Round 13)","MombaMentality",NO
