OverallRank,Round,Player,Position,Team,TheLeagueProjPoints,VORP,GenericHalfPPRPoints,KeeperStatus
115,10,Isaiah Likely,TE,NYG,133.9,2.5,133.9,
116,10,Patrick Mahomes II,QB,KC,344.8,1.8,302.5,
117,10,Courtland Sutton,WR,DEN,164.8,1.7,164.8,
118,10,Kyle Hamilton,DB,BAL,134.4,1.5,203.8,
119,10,J.K. Dobbins,RB,DEN,166.3,1.2,166.3,
120,10,Alec Pierce,WR,IND,163.7,0.6,163.7,
121,11,Devin Lloyd,LB,CAR,133.1,0.2,200,
122,11,Marvin Harrison Jr.,WR,ARI,163.2,0.1,163.2,
123,11,Jaxson Dart,QB,NYG,343,0,309.6,
124,11,Rico Dowdle,RB,PIT,165.1,0,165.1,
125,11,Mike Evans,WR,SF,163.1,0,163.1,
126,11,Frankie Luvu,LB,WAS,132.9,0,200.3,
127,11,Kam Curl,DB,LAR,132.9,0,201,
128,11,Dalton Kincaid,TE,BUF,131.4,0,131.4,
129,11,DK Metcalf,WR,PIT,163,-0.1,163,
130,11,Tykee Smith,DB,TB,132.5,-0.4,200.4,
131,11,Christian Elliss,LB,NE,132.3,-0.6,200,
132,11,Alohi Gilman,DB,KC,131.9,-1,200.2,
133,12,Jake Ferguson,TE,DAL,130.4,-1,130.4,
134,12,Jared Goff,QB,DET,341.5,-1.5,288,
135,12,Jacob Rodriguez,LB,MIA,130.9,-2,197.2,
136,12,Zaire Franklin,LB,GB,130.9,-2,196.7,
137,12,Bo Nix,QB,DEN,340.6,-2.4,298,
138,12,DaRon Bland,DB,DAL,130.3,-2.6,195.7,
139,12,Justin Herbert,QB,LAC,340.2,-2.8,299.5,
140,12,Demetrius Knight Jr.,LB,CIN,129.5,-3.4,194.3,
141,12,Nick Cross,DB,WAS,129,-3.9,194.4,
142,12,Trent McDuffie,DB,LAR,128.5,-4.4,194.7,
143,12,Quincy Williams,LB,CLE,128.4,-4.5,192.9,
144,12,Terrel Bernard,LB,BUF,127.3,-5.6,191.5,
145,13,Hunter Henry,TE,NE,125.2,-6.2,125.2,
146,13,Dante Trader Jr.,DB,MIA,126.4,-6.5,189.9,
147,13,Jeremy Chinn,DB,LV,126.1,-6.8,191.2,
148,13,Christian Gonzalez,DB,NE,126,-6.9,190.9,
149,13,Divine Deablo,LB,ATL,125.9,-7,189.2,
150,13,Derwin James Jr.,DB,LAC,125.7,-7.2,189.8,
151,13,Xavier McKinney,DB,GB,125.7,-7.2,191,
152,13,Cody Barton,LB,TEN,125.6,-7.3,188.6,
153,13,Eric Wilson,LB,MIN,125.6,-7.3,189.2,
154,13,Chuba Hubbard,RB,CAR,157.6,-7.5,157.7,
155,13,Juwan Johnson,TE,NO,123.3,-8.1,123.3,
156,13,Cam Lewis,DB,CHI,124.7,-8.2,189.3,
157,14,Nick Emmanwori,DB,SEA,123.6,-9.3,184.6,
158,14,Brenton Strange,TE,JAC,121.8,-9.6,121.8,
159,14,Talanoa Hufanga,DB,DEN,123.2,-9.7,186,
160,14,Antoine Winfield Jr.,DB,TB,123.1,-9.8,186.2,
161,14,Drue Tranquill,LB,KC,123.1,-9.8,184.9,
162,14,Parker Washington,WR,JAC,153,-10.1,153.1,
163,14,Craig Woodson,DB,NE,122.7,-10.2,184.5,
164,14,Chamarri Conner,DB,KC,122.4,-10.5,185.4,
165,14,Dadrion Taylor-Demerson,DB,ARI,122.2,-10.7,184.8,
166,14,Jordan Battle,DB,CIN,122.2,-10.7,185.7,
167,14,Brian Thomas Jr.,WR,JAC,152.1,-11,152.1,
168,14,Derrick Barnes,LB,DET,121.9,-11,181,
169,15,Dorian Williams,LB,BUF,121.7,-11.2,182.2,
170,15,Jihaad Campbell,LB,PHI,121,-11.9,182.6,
171,15,Maxx Crosby,DL,LV,120.7,-12.2,177.7,
172,15,Arvell Reese,LB,NYG,120.4,-12.5,181.5,
173,15,Michael Pittman Jr.,WR,PIT,150,-13.1,150,
174,15,Ventrell Miller,LB,JAC,119.7,-13.2,180.9,
175,15,Kevin Winston Jr.,DB,TEN,119.6,-13.3,179.5,
176,15,Jonathon Brooks,RB,CAR,151.7,-13.4,151.7,
177,15,Joshua Metellus,DB,MIN,119.4,-13.5,180.4,
178,15,MarShawn Lloyd,RB,GB,151.4,-13.7,151.4,
179,15,Alex Anzalone,LB,TB,118.8,-14.1,178.3,
180,15,Quentin Lake,DB,LAR,118.7,-14.2,179.6,
181,16,Ji'Ayir Brown,DB,SF,118.3,-14.6,178.3,
182,16,Eric Murray,DB,JAC,117.5,-15.4,178.2,
183,16,Kamari Lassiter,DB,HOU,117.2,-15.7,176.5,
184,16,Dalton Schultz,TE,HOU,115.7,-15.7,115.7,
185,16,Tre'von Moehrig,DB,CAR,116.9,-16,175.3,
186,16,Henry To'oTo'o,LB,HOU,116.6,-16.3,175.5,
187,16,Akeem Davis-Gaither,LB,IND,115.7,-17.2,174.5,
188,16,Kevin Byard III,DB,NE,115.7,-17.2,175.1,
189,16,Zyon McCollum,DB,TB,115.7,-17.2,173.7,
190,16,Carnell Tate,WR,TEN,145.8,-17.3,145.8,
191,16,Kyler Murray,QB,MIN,325.6,-17.4,291.4,
192,16,Myles Garrett,DL,LAR,115.4,-17.5,168.9,
193,17,Jayden Reed,WR,GB,145.4,-17.7,145.4,
194,17,Jessie Bates III,DB,ATL,114.7,-18.2,173.9,
195,17,Amani Hooker,DB,TEN,114.6,-18.3,172.7,
196,17,Kenny Gainwell,RB,TB,146.7,-18.4,146.7,
